STATEFP,COUNTYFP,TRACTCE,GEOID,GEOID_Dub,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
06,037,900508,06037900508,6037900508.000000000000000,9005.08,Census Tract 9005.08,G5020,S,3974231.000000000000000,11929.000000000000000,+34.6789817,-118.0721979,26851.895100862584513,43379799.953885257244110
06,037,901008,06037901008,6037901008.000000000000000,9010.08,Census Tract 9010.08,G5020,S,2682477.000000000000000,0.000000000000000,+34.6966423,-118.1748108,21640.454614959278842,29190531.306330535560846
06,037,106649,06037106649,6037106649.000000000000000,1066.49,Census Tract 1066.49,G5020,S,1112675.000000000000000,0.000000000000000,+34.2892496,-118.4606550,20894.407858555707207,12126248.080001810565591
06,037,108202,06037108202,6037108202.000000000000000,1082.02,Census Tract 1082.02,G5020,S,5996867.000000000000000,3024.000000000000000,+34.2868571,-118.5771726,36660.803331099283241,65389247.693662315607071
06,037,102104,06037102104,6037102104.000000000000000,1021.04,Census Tract 1021.04,G5020,S,1658544.000000000000000,0.000000000000000,+34.2161873,-118.3453981,27731.824379274705279,18080365.078486882150173
06,097,152201,06097152201,6097152201.000000000000000,1522.01,Census Tract 1522.01,G5020,S,1204483.000000000000000,0.000000000000000,+38.4570299,-122.7128443,17568.159620070964593,12984134.693162150681019
06,097,151308,06097151308,6097151308.000000000000000,1513.08,Census Tract 1513.08,G5020,S,2976460.000000000000000,0.000000000000000,+38.3562901,-122.6998452,26757.039730839802360,32090525.592497501522303
06,097,153200,06097153200,6097153200.000000000000000,1532,Census Tract 1532,G5020,S,12676764.000000000000000,0.000000000000000,+38.3880500,-122.7284014,54194.145538136712275,136667435.333381414413452
06,097,150702,06097150702,6097150702.000000000000000,1507.02,Census Tract 1507.02,G5020,S,20405343.000000000000000,0.000000000000000,+38.2010746,-122.6258548,71557.210708087775856,220051084.802148997783661
06,097,151201,06097151201,6097151201.000000000000000,1512.01,Census Tract 1512.01,G5020,S,28414698.000000000000000,29015.000000000000000,+38.3395569,-122.7196150,114578.211031222643214,306682175.850959420204163
06,097,150303,06097150303,6097150303.000000000000000,1503.03,Census Tract 1503.03,G5020,S,61339607.000000000000000,139783.000000000000000,+38.3129276,-122.5328087,130535.804943763650954,662892014.778996229171753
