,GEO_ID,E_Total_population_SX_AGE_2020,E_HSPNC_Total_population_2020,E_NOTHSPNC_White_alone_2020,P_NOTHSPNC_White_alone_2020,E_Under35_SX_AGE_2020,E_Total_population_SX_AGE_2021,E_HSPNC_Total_population_2021,E_NOTHSPNC_White_alone_2021,P_NOTHSPNC_White_alone_2021,E_Under35_SX_AGE_2021,E_Total_population_SX_AGE_2022,E_HSPNC_Total_population_2022,E_NOTHSPNC_White_alone_2022,P_NOTHSPNC_White_alone_2022,E_Under35_SX_AGE_2022
378,6001983200,587,72,12,2,159.8,755,89,13,1.7,150.1,896,896,896,896,152.8
379,6001990000,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA
380,6003010000,1159,10,112,9.7,398.6,1344,8,121,9,494.2,1515,1515,1515,1515,586.3
381,6005000101,3533,7,195,5.5,711,4088,19,271,6.6,712.9,4294,4294,4294,4294,796.4
382,6005000102,1713,5,28,1.6,462.4,2054,76,137,6.7,607.3,2160,2160,2160,2160,630.3
383,6005000201,2438,8,139,5.7,692.5,2576,13,173,6.7,553.8,2791,2791,2791,2791,688.9
384,6005000202,1623,29,24,1.5,392.7,1868,31,0,0,517.6,1868,1868,1868,1868,517.5
385,6005000301,5066,947,1354,26.7,1387.4,5152,984,1296,25.2,1408.9,4934,4934,4934,4934,1298.4
386,6005000303,8605,88,1017,11.8,2127.9,6346,85,806,12.7,1570.1,6471,6471,6471,6471,1576.2
387,6005000304,4536,17,319,7,1228.8,5186,25,387,7.5,1550.9,5259,5259,5259,5259,1465.8
388,6005000401,4314,82,119,2.8,895.5,4573,140,176,3.8,949,4570,4570,4570,4570,1156.1
389,6005000402,4358,41,592,13.6,968.9,5058,45,541,10.7,1046.4,4826,4826,4826,4826,894.8
390,6005000500,2837,4,166,5.9,780.1,3194,5,375,11.7,906.9,3404,3404,3404,3404,1023.1
391,6007000102,4016,44,401,10,1657.9,4286,70,504,11.8,1669.6,4266,4266,4266,4266,1661
392,6007000103,5567,152,653,11.7,2205.5,6219,144,698,11.2,2424.1,6322,6322,6322,6322,2263.6
